                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                  1.332,                  1.441,                 1.8451,                0.81244,                0.78757,                0.77668,                0.49993,                 1.4331,                 1.3167,                 2.1036,              0.0017268,              0.0017268,              0.0017268
                     71,                 1.3687,                 1.4379,                 1.8863,                0.53224,                0.69697,                0.58547,                0.36902,                 1.2805,                 1.6005,                  1.915,              0.0017228,              0.0017228,              0.0017228
                     72,                  1.348,                 1.3924,                  1.866,                0.87306,                0.54545,                0.69259,                0.46448,                 1.3327,                 1.3439,                 2.0478,              0.0017188,              0.0017188,              0.0017188
                     73,                 1.3459,                 1.4198,                 1.8552,                0.70417,                0.69697,                0.68394,                0.42219,                 1.4556,                 1.4128,                 2.1425,              0.0017149,              0.0017149,              0.0017149
                     74,                 1.3406,                 1.4109,                 1.8424,                0.74973,                0.63636,                0.75032,                0.48516,                 1.3549,                 1.3648,                 2.0153,              0.0017109,              0.0017109,              0.0017109
                     75,                 1.2952,                 1.3552,                 1.8014,                0.59137,                0.72727,                0.70458,                0.45463,                 1.4352,                 1.3832,                 2.1732,               0.001707,               0.001707,               0.001707
                     76,                 1.2782,                 1.3696,                 1.7898,                0.66925,                0.78788,                0.79912,                0.50879,                 1.2801,                 1.2072,                 2.0149,               0.001703,               0.001703,               0.001703
                     77,                 1.2747,                 1.3432,                 1.8009,                 0.8049,                0.62538,                0.73036,                0.45131,                 1.3633,                 1.4494,                 2.1017,               0.001699,               0.001699,               0.001699
                     78,                 1.2729,                 1.3454,                  1.786,                 0.6423,                0.69697,                0.68206,                0.41145,                 1.3674,                 1.4558,                 2.1055,              0.0016951,              0.0016951,              0.0016951
                     79,                 1.2845,                 1.3596,                 1.8323,                0.74254,                0.75758,                0.80537,                0.48661,                 1.4363,                 1.2132,                 2.1508,              0.0016911,              0.0016911,              0.0016911
                     80,                 1.3789,                 1.3997,                 1.8619,                0.61595,                0.72906,                0.72434,                0.36933,                  1.552,                  1.572,                 2.2759,              0.0016872,              0.0016872,              0.0016872
                     81,                 1.2931,                 1.3492,                 1.7957,                0.53052,                0.75343,                0.63574,                0.41984,                 1.3322,                 1.4072,                 2.0077,              0.0016832,              0.0016832,              0.0016832
                     82,                 1.2906,                 1.3155,                 1.8061,                0.62445,                0.70558,                0.67136,                0.43186,                 1.3091,                 1.4026,                 2.0038,              0.0016792,              0.0016792,              0.0016792
                     83,                  1.293,                  1.288,                 1.7968,                0.84697,                0.67101,                0.75545,                0.45319,                 1.4416,                 1.2794,                 2.1894,              0.0016753,              0.0016753,              0.0016753
                     84,                 1.2971,                 1.3378,                 1.8049,                0.58642,                0.63636,                0.70472,                0.44177,                 1.1989,                  1.382,                 1.9749,              0.0016713,              0.0016713,              0.0016713
                     85,                 1.2635,                 1.2848,                 1.7737,                0.71937,                0.69697,                0.74349,                0.48557,                 1.2374,                 1.2742,                  1.992,              0.0016674,              0.0016674,              0.0016674
                     86,                 1.2739,                 1.3003,                 1.7655,                0.77043,                0.71211,                0.80116,                0.49792,                 1.4549,                 1.2896,                 2.0898,              0.0016634,              0.0016634,              0.0016634
                     87,                 1.2657,                 1.2764,                 1.7554,                0.94798,                0.75758,                0.84591,                0.56645,                 1.3045,                 1.1437,                 2.0005,              0.0016594,              0.0016594,              0.0016594
                     88,                 1.2703,                 1.2963,                 1.7788,                0.79711,                0.71459,                0.79907,                0.51097,                 1.3128,                  1.206,                 1.9791,              0.0016555,              0.0016555,              0.0016555
                     89,                 1.2812,                  1.281,                 1.7954,                0.66506,                0.78233,                 0.7583,                0.46258,                 1.3513,                  1.345,                 2.0775,              0.0016515,              0.0016515,              0.0016515
                     90,                 1.2358,                 1.2661,                 1.7484,                0.65784,                0.72727,                0.75525,                0.42003,                  1.453,                 1.3878,                 2.1662,              0.0016476,              0.0016476,              0.0016476
                     91,                  1.262,                 1.2917,                  1.761,                  0.688,                0.69697,                0.72728,                0.46917,                 1.3286,                 1.3757,                  2.033,              0.0016436,              0.0016436,              0.0016436
                     92,                 1.2097,                 1.2009,                 1.7116,                0.78422,                0.66095,                0.79958,                0.50695,                 1.2303,                 1.1647,                 1.9605,              0.0016396,              0.0016396,              0.0016396
                     93,                 1.2268,                 1.2323,                 1.7437,                0.86154,                0.75434,                0.82031,                0.54695,                 1.1441,                 1.1324,                 1.8708,              0.0016357,              0.0016357,              0.0016357
                     94,                 1.2239,                 1.2381,                 1.7351,                0.64771,                0.83589,                0.78586,                0.48336,                 1.2522,                 1.2927,                 1.9756,              0.0016317,              0.0016317,              0.0016317
                     95,                  1.246,                 1.2674,                 1.7578,                0.76954,                0.69697,                0.79934,                0.53766,                   1.25,                 1.0769,                 2.0354,              0.0016278,              0.0016278,              0.0016278
